@relation zoo

@attribute animal numeric
@attribute hair numeric
@attribute feathers numeric
@attribute eggs numeric
@attribute milk numeric
@attribute airborne numeric
@attribute aquatic numeric
@attribute predator numeric
@attribute toothed numeric
@attribute backbone numeric
@attribute breathes numeric
@attribute venomous numeric
@attribute fins numeric
@attribute legs numeric
@attribute tail numeric
@attribute domestic numeric
@attribute catsize numeric
@attribute type {mammal,fish,bird,invertebrate,insect,amphibian,reptile}

@data
1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
4,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal
5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
6,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
7,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
8,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,fish
9,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
10,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,mammal
11,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
12,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
13,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,invertebrate
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,invertebrate
16,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrate
17,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
18,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
19,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
20,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
21,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
22,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,bird
23,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
24,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,bird
25,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
26,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,amphibian
27,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,amphibian
28,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
29,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
30,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,mammal
31,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
32,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
33,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,mammal
34,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
35,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
36,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,mammal
37,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
38,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
39,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
40,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,insect
41,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
42,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,bird
43,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,insect
44,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
45,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
46,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
47,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrate
48,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
49,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,mammal
50,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
51,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
52,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
53,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,amphibian
54,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,invertebrate
55,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
56,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
57,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,bird
58,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
59,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,bird
60,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
61,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
62,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
63,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptile
64,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mammal
65,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
66,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
